Record_ID,Observation_Date,Region,District,Forest_Type,Forest_Area_ha,Tree_Cover_Loss_ha,Annual_Rainfall_mm,Population_Density,Fire_Incidents,Illegal_Logging,Deforestation_Risk,Loss_Rate,Illegal_Logging_Flag,Population_Pressure,Fire_Logging_Impact
REC00044,2024-08-03,Central,Mukono,Woodland,4142.98,113.75,937.0,370.0,16,Yes,High,0.027456082336868633,1.0,0.08930769639245181,16.0
REC00045,2022-07-02,Northern,Gulu,Woodland,8447.76,288.47,1739.8,220.0,25,No,Medium,0.03414751366042596,0.0,0.026042406507760636,0.0
REC00046,2023-01-31,Central,Mukono,Tropical Rainforest,7465.89,558.29,1204.3,141.0,5,Yes,High,0.07477876046928095,1.0,0.01888589304155298,5.0
REC00047,2022-04-18,Western,Mbarara,Dry Forest,6883.71,15.47,1187.2,431.0,14,Yes,High,0.0022473346494840717,1.0,0.06261158590353168,14.0
REC00048,2024-02-22,Eastern,Mbale,Woodland,4400.91,51.55,1076.5,159.0,13,Yes,High,0.011713486528922427,1.0,0.03612889152470739,13.0
REC00049,2021-09-22,Eastern,Mbale,Mangrove,9656.38,218.49,1119.6,747.0,14,No,Medium,0.02262649150095585,0.0,0.07735818184454217,0.0
REC00050,2023-07-16,Western,Mbarara,Woodland,3153.41,86.42,2247.6,547.0,22,No,Low,0.027405253360647683,0.0,0.17346301305570797,0.0
REC00051,2021-03-03,Eastern,Mbale,Dry Forest,8240.84,633.55,1609.95,708.0,4,Yes,High,0.07687929871226719,1.0,0.0859135719174259,4.0
REC00052,2021-03-07,Central,Wakiso,Dry Forest,3278.87,218.16,2404.9,469.0,2,No,Medium,0.06653511728125848,0.0,0.14303708289746164,0.0
REC00053,2021-11-29,Western,Kabale,Woodland,4641.12,186.71,1102.9,116.0,1,No,Medium,0.040229513565691044,0.0,0.024993966973489157,0.0
REC00054,2023-09-27,Eastern,Mbale,Woodland,2927.23,126.26,1763.9,378.0,12,Yes,High,0.0431329277166468,1.0,0.12913231963323688,12.0
REC00055,2024-08-18,Eastern,Mbale,Woodland,8103.12,72.05,1417.3,257.0,20,Yes,High,0.008891636801627027,1.0,0.03171617845965505,20.0
REC00056,2023-07-24,Central,Wakiso,Plantation,2700.65,124.56,1969.9,568.0,4,Yes,Medium,0.046122229833558584,1.0,0.21031973784089014,4.0
REC00057,2021-03-18,Central,Mukono,Montane Forest,8610.77,681.5,2267.6,323.0,22,No,High,0.07914507064989541,0.0,0.037511163345438324,0.0
REC00058,2024-05-10,Central,Mukono,Montane Forest,3840.53,1.08,1381.9,686.0,3,No,Low,0.00028121118699762796,0.0,0.17862117988923404,0.0
REC00059,2023-07-26,Northern,Gulu,Plantation,280.47,7.29,1321.3,417.0,13,No,Low,0.025992084714942774,0.0,1.4867900310193602,0.0
REC00060,2022-05-20,Western,Kabale,Mangrove,5066.14,267.23,830.8,393.0,15,Yes,High,0.052748246199275976,1.0,0.07757385307156928,15.0
REC00061,2022-08-28,Central,Wakiso,Woodland,964.78,1.58,1082.6,456.0,11,No,Low,0.0016376790563651818,0.0,0.472646613735774,0.0
REC00062,2024-05-13,Western,Kabale,Woodland,1222.43,67.72,1416.5,60.0,24,No,Low,0.055397855091907096,0.0,0.049082565054849765,0.0
REC00063,2022-05-05,Eastern,Mbale,Mangrove,4052.9,173.27,1639.6,585.0,21,No,Medium,0.04275210343211034,0.0,0.14434108909669618,0.0
REC00064,2023-05-21,Western,Mbarara,Montane Forest,1372.67,80.04,1868.3,566.0,6,Yes,Low,0.05830971755775241,1.0,0.41233508417900877,6.0
REC00065,2024-01-30,Eastern,Mbale,Woodland,1775.37,98.62,1717.6,424.0,10,Yes,Low,0.055548984155415496,1.0,0.23882345651892284,10.0
REC00066,2021-01-26,Northern,Gulu,Plantation,1440.41,87.95,2475.9,148.0,15,Yes,High,0.061059004033573776,1.0,0.10274852298998201,15.0
REC00067,2023-10-27,Western,Mbarara,Woodland,2561.8,136.6,2167.4,890.0,5,Yes,Medium,0.053321883050979776,1.0,0.34741197595440704,5.0
REC00068,2022-11-17,Eastern,Mbale,Plantation,9363.98,277.73,1211.6,808.0,6,No,Medium,0.02965939696582009,0.0,0.0862880954465943,0.0
REC00069,2021-03-12,Central,Wakiso,Dry Forest,9840.85,159.33,1334.5,488.0,8,No,Medium,0.016190674586036777,0.0,0.04958921231397694,0.0
REC00070,2024-01-01,Central,Wakiso,Woodland,4119.94,106.15,1395.9,790.0,12,No,Medium,0.02576493832434453,0.0,0.19175036529658201,0.0
REC00071,2022-12-07,Central,Mukono,Woodland,7902.01,339.49,1769.5,729.0,9,Maybe,High,0.04296248675969785,,0.09225500853580292,
REC00072,2022-09-23,Western,Mbarara,Woodland,2682.86,111.02,1845.0,583.0,19,Yes,High,0.04138121258656806,1.0,0.21730541288028446,19.0
REC00073,2023-05-09,Eastern,Mbale,Woodland,8363.66,507.87,1466.3,796.0,1,No,High,0.060723415346869675,0.0,0.09517364407448414,0.0
REC00074,2023-11-09,Eastern,Mbale,Tropical Rainforest,4207.46,52.3,1579.1,319.0,24,Yes,High,0.012430302367699276,1.0,0.07581771425040286,24.0
REC00075,2023-08-05,Eastern,Mbale,Mangrove,8102.41,571.37,2257.6,807.0,17,Yes,High,0.0705185247352331,1.0,0.09959999555687753,17.0
REC00076,2022-06-09,Central,Wakiso,Dry Forest,6291.19,91.0,945.8,883.0,11,No,Low,0.014464672025483256,0.0,0.14035500437913973,0.0
REC00077,2021-02-27,Northern,Gulu,Woodland,6753.56,538.97,1082.8,696.0,6,Yes,High,0.07980531749181173,1.0,0.10305675821344594,6.0
REC00078,2024-10-30,Central,Wakiso,Mangrove,4331.02,109.07,1911.3,337.0,0,No,Medium,0.025183444084765246,0.0,0.07781076974938927,0.0
REC00079,2022-05-23,Northern,Gulu,Montane Forest,6554.01,490.72,801.7,822.0,25,No,High,0.07487324553975352,0.0,0.12541939972627444,0.0
REC00080,2023-04-08,Central,Mukono,Montane Forest,1682.14,78.32,1604.3,789.0,13,No,Low,0.04655973937959979,0.0,0.4690453826673166,0.0
REC00081,2021-02-16,Western,Kabale,Woodland,628.66,-500.0,2283.9,765.0,6,No,Low,-0.7953424744695066,0.0,1.216873985938345,0.0
REC00082,2022-11-30,Northern,Gulu,Mangrove,3788.71,36.89,1698.4,384.0,19,Yes,High,0.00973682335148375,1.0,0.10135375893114015,19.0
REC00083,2022-10-10,Eastern,Mbale,Woodland,5524.86,385.19,1549.4,114.0,19,No,High,0.06971941370460066,0.0,0.020634007015562388,0.0
REC00084,2023-01-10,Central,Wakiso,Dry Forest,8578.89,638.4,2018.8,65.0,15,Yes,High,0.07441522154964104,1.0,0.007576737783093151,15.0
REC00085,2022-05-17,Eastern,Mbale,Montane Forest,6107.8,392.06,1706.5,273.0,10,Yes,High,0.06419005206457316,1.0,0.04469694489014048,10.0
REC00086,2024-09-19,Western,Kabale,Woodland,5701.68,55.61,2123.9,859.0,16,No,Low,0.00975326570414334,0.0,0.15065735011435225,0.0
REC00087,2022-12-24,Western,Kabale,Montane Forest,5624.57,73.64,774.7,406.0,25,No,Low,0.01309255640875658,0.0,0.0721832957897226,0.0
REC00088,2024-09-11,Western,Mbarara,Dry Forest,4981.92,285.62,950.4,275.0,0,Yes,Medium,0.05733131001702155,1.0,0.05519960175996403,0.0
REC00089,2024-02-23,Western,Kabale,Tropical Rainforest,7249.7,438.89,1219.2,456.0,24,Yes,High,0.06053905678855677,1.0,0.06289915444777025,24.0
REC00090,2021-05-24,Central,Mukono,Tropical Rainforest,2237.34,123.57,1122.5,632.0,0,No,Medium,0.05523076510499074,0.0,0.2824783001242547,0.0
REC00091,2023-11-05,Central,Mukono,Plantation,3490.26,241.05,99999.0,239.0,7,Yes,Medium,0.06906362276735831,1.0,0.06847627397385868,7.0
REC00092,2024-05-18,Eastern,Mbale,Tropical Rainforest,2655.37,115.24,2357.1,627.0,17,No,Medium,0.0433988483714134,0.0,0.2361252857417234,0.0
REC00093,2023-07-09,Central,Mukono,Woodland,7033.91,327.65,1975.9,374.0,22,Yes,High,0.046581488816319794,1.0,0.05317099593256098,22.0
REC00094,2021-03-07,Western,Kabale,Tropical Rainforest,2046.18,106.9,1474.5,523.0,8,No,Medium,0.052243693125726964,0.0,0.25559823671426757,0.0
REC00095,2021-01-29,Northern,Gulu,Mangrove,6438.9,385.34,1105.7,68.0,0,Yes,High,0.05984562580565003,1.0,0.010560810076255261,0.0
REC00096,2022-10-29,Northern,Gulu,Plantation,7718.83,171.94,773.7,695.0,18,Yes,High,0.02227539665985648,1.0,0.0900395526264991,18.0
REC00097,2024-04-12,Central,Wakiso,Tropical Rainforest,3586.33,98.62,2328.4,724.0,12,Yes,High,0.027498863740927356,1.0,0.20187768554483274,12.0
REC00098,2023-02-17,Eastern,Mbale,Mangrove,7498.28,312.33,1035.1,119.0,7,Yes,High,0.04165355254805102,1.0,0.015870306256901584,7.0
REC00099,2022-10-02,Central,Mukono,Plantation,2762.98,149.36,1664.5,208.0,1,No,Medium,0.05405757551629039,0.0,0.07528103714105784,0.0
REC00100,2024-06-13,Northern,Gulu,Dry Forest,3317.75,260.66,1186.8,186.0,23,Yes,High,0.07856529274357622,1.0,0.0560620902720217,23.0
REC00101,2021-12-03,Western,Kabale,Woodland,5540.2,280.69,1092.9,759.0,23,No,Medium,0.05066423594816072,0.0,0.13699866430814772,0.0
REC00102,2022-11-06,Western,Mbarara,Woodland,8585.31,88.56,2304.3,837.0,11,No,Low,0.010315294380750375,0.0,0.09749211152538464,0.0
REC00103,2024-05-15,Northern,Gulu,Woodland,8823.2,458.28,2397.5,568.0,25,Yes,High,0.051940339105993286,1.0,0.0643757366941699,25.0
REC00104,2024-07-29,Eastern,Mbale,Mangrove,683.23,20.03,1250.6,59.0,18,No,Low,0.029316628368192266,0.0,0.0863545219033122,0.0
REC00105,2024-05-02,Central,Wakiso,Dry Forest,6708.84,67.58,883.8,755.0,7,Yes,Low,0.010073276453157327,1.0,0.11253808408010922,7.0
REC00106,2022-09-05,Central,Wakiso,Mangrove,6501.36,83.63,1797.2,536.0,13,Yes,High,0.012863462414017991,1.0,0.08244428857962027,13.0
REC00107,2024-10-04,Eastern,Mbale,Plantation,7515.42,275.58,962.1,290.0,17,No,Medium,0.036668609339198605,0.0,0.03858733111389649,0.0
REC00108,2024-02-19,Western,Mbarara,Woodland,8865.77,704.34,1412.7,140.0,16,No,High,0.07944487619236683,0.0,0.015791070600748722,0.0
REC00109,2021-12-17,Western,Kabale,Woodland,1595.0,112.15,766.0,121.0,4,No,Medium,0.07031347962382445,0.0,0.07586206896551724,0.0
REC00110,2023-11-19,Western,Kabale,Mangrove,1161.69,48.28,1011.8,114.0,1,Yes,Low,0.04156014082930902,1.0,0.09813289259613149,1.0
REC00111,2024-08-20,Western,Mbarara,Dry Forest,2077.08,106.05,1573.4,878.0,0,Yes,Medium,0.05105725345196141,1.0,0.4227088027423113,0.0
REC00112,2024-03-06,Western,Kabale,Dry Forest,5212.79,397.41,2154.4,118.0,14,Yes,High,0.07623748510874216,1.0,0.022636630288194997,14.0
REC00113,2021-04-01,Northern,Gulu,Mangrove,9342.78,206.94,2087.9,619.0,22,No,Medium,0.022149724172034445,0.0,0.066254369684398,0.0
REC00114,2021-11-20,Western,Mbarara,Plantation,1523.34,68.45,1899.1,65.0,11,No,Low,0.04493415783738365,0.0,0.042669397508107186,0.0
REC00115,2024-06-06,Western,Mbarara,Montane Forest,2086.44,9.41,1572.9,199.0,18,Yes,High,0.004510074576791089,1.0,0.09537777266540134,18.0
REC00116,2024-05-21,Northern,Gulu,Mangrove,4820.96,92.72,1339.4,469.0,17,Yes,High,0.019232683946765788,1.0,0.09728352859181574,17.0
REC00117,2023-10-08,Western,Kabale,Woodland,6973.81,389.73,2218.4,206.0,17,Yes,High,0.055884803285435075,1.0,0.02953908982320998,17.0
REC00118,2022-09-24,Western,Mbarara,Woodland,5843.75,224.9,1937.2,899.0,23,No,Medium,0.0384855614973262,0.0,0.15383957219251337,0.0
REC00119,2024-04-21,Western,Kabale,Plantation,5551.8,284.52,1746.0,64.0,4,No,Medium,0.05124824381281746,0.0,0.011527792787924637,0.0
REC00120,2021-04-03,Western,Mbarara,Tropical Rainforest,4892.38,102.1,1024.7,692.0,11,No,Medium,0.020869188411366247,0.0,0.14144445034931874,0.0
REC00121,2024-08-20,Central,Mukono,Montane Forest,4141.3,235.18,1727.0,463.0,10,No,Medium,0.05678893101200106,0.0,0.11180064231038563,0.0
REC00122,2023-08-10,Northern,Gulu,Montane Forest,8655.62,199.92,2426.5,242.0,10,No,Medium,0.023097132267821365,0.0,0.027958713529475644,0.0
REC00123,2022-10-01,Western,Mbarara,Dry Forest,664.09,26.36,1514.9,624.0,20,Yes,High,0.03969341504916502,1.0,0.9396316764293996,20.0
REC00124,2023-07-22,Western,Kabale,Woodland,3968.01,171.56,1027.4,223.0,18,Yes,High,0.04323577813563978,1.0,0.05619945514250216,18.0
REC00125,2022-12-14,Western,Kabale,Montane Forest,2375.25,37.74,2349.7,366.0,20,Yes,High,0.015888853804862647,1.0,0.15408904325860437,20.0
REC00126,2021-03-11,Northern,Gulu,Woodland,820.67,58.1,1822.9,712.0,25,No,Low,0.07079581317703827,0.0,0.8675838034776464,0.0
REC00127,2023-07-09,Western,Kabale,Montane Forest,299.87,20.56,2003.7,316.0,18,Yes,High,0.06856304398572714,1.0,1.0537899756561175,18.0
REC00128,2022-03-29,Central,Wakiso,Tropical Rainforest,8778.96,77.02,2182.1,821.0,5,No,Low,0.008773248767507768,0.0,0.09351905009249388,0.0
REC00129,2023-11-08,Western,Mbarara,Plantation,8174.85,38.89,1967.5,726.0,24,No,Low,0.00475727383377065,0.0,0.08880896897190774,0.0
REC00130,2021-11-20,Central,Mukono,Plantation,603.18,31.64,872.3,207.0,5,No,Low,0.05245532013660931,0.0,0.34318113995822147,0.0
REC00131,2024-10-07,Central,Mukono,Mangrove,9188.58,397.43,2293.3,407.0,15,No,High,0.04325260268724874,0.0,0.044294112909720545,0.0
REC00132,2024-05-31,Northern,Gulu,Dry Forest,7950.94,614.88,2088.8,755.0,18,Yes,High,0.07733425230224351,1.0,0.09495732580047139,18.0
REC00133,2023-07-23,Western,Mbarara,Plantation,2424.06,45.45,2421.9,188.0,8,No,Low,0.01874953590257667,0.0,0.07755583607666477,0.0
REC00134,2022-05-19,Western,Kabale,Plantation,720.37,6.71,729.2,400.0,7,Yes,Low,0.00931465774532532,1.0,0.5552702083651457,7.0
REC00135,2023-09-14,Western,Kabale,Montane Forest,6592.52,512.27,1014.4,641.0,8,No,High,0.07770473202963357,0.0,0.0972314077166243,0.0
REC00136,2022-03-05,Central,Wakiso,Tropical Rainforest,682.11,33.57,1279.1,72.0,20,Yes,High,0.04921493600738884,1.0,0.1055548225359546,20.0
REC00137,2021-08-26,Central,Mukono,Plantation,146.93,7.46,2343.1,280.0,13,No,Low,0.05077247668958007,0.0,1.9056693663649356,0.0
REC00138,2021-04-12,Northern,Gulu,Plantation,1878.8,150.1,1208.5,743.0,9,Yes,Medium,0.07989142005535448,1.0,0.3954651905471578,9.0
REC00139,2024-02-12,Western,Kabale,Woodland,231.16,0.94,1731.8,637.0,7,No,Low,0.004066447482263367,0.0,2.7556670704274095,0.0
REC00140,2021-05-02,Eastern,Mbale,Tropical Rainforest,7995.51,531.58,1036.9,228.0,13,No,High,0.06648481460219549,0.0,0.028516004607586007,0.0
REC00141,2023-07-29,Central,Wakiso,Plantation,7808.0,485.31,1293.0,804.0,5,Yes,High,0.06215548155737705,1.0,0.10297131147540983,5.0
REC00142,2023-09-08,Central,Mukono,Plantation,6256.88,196.61,1185.2,829.0,20,Yes,High,0.031423009551086165,1.0,0.13249415043919652,20.0
REC00143,2021-03-16,Central,Wakiso,Dry Forest,7124.72,547.01,2394.3,454.0,6,Yes,High,0.07677635050921298,1.0,0.06372180240065574,6.0
REC00144,2021-12-07,Central,Wakiso,Plantation,5887.67,317.28,911.5,418.0,9,Yes,High,0.05388888983248041,1.0,0.07099582687209031,9.0
REC00145,2023-06-26,Central,Mukono,Plantation,248.99,15.45,1139.6,672.0,25,Yes,High,0.062050684766456476,1.0,2.698903570424515,25.0
REC00146,2023-10-21,Central,Wakiso,Mangrove,3401.62,1.37,2301.8,194.0,3,Yes,Low,0.00040274927828505243,1.0,0.057031649625766546,3.0
REC00147,2024-03-24,Western,Kabale,Tropical Rainforest,6549.1,258.38,1400.5,531.0,2,No,Medium,0.039452749232719,0.0,0.08107984303186697,0.0
REC00148,2024-02-17,Northern,Gulu,Plantation,4228.43,152.28,975.7,536.0,21,Yes,High,0.03601336666327691,1.0,0.12676099639819033,21.0
REC00149,2021-08-14,Western,Mbarara,Tropical Rainforest,5620.52,182.43,1335.1,524.0,10,Yes,Medium,0.03245785087500801,1.0,0.09322980791812857,10.0
REC00150,2022-02-13,Eastern,Mbale,Plantation,8493.31,20.45,1729.2,881.0,5,No,Low,0.0024077774154010628,0.0,0.10372869941165459,0.0
REC00151,2022-06-20,Northern,Gulu,Plantation,7789.22,450.73,703.4,235.0,3,No,High,0.057865871037151344,0.0,0.03016990147922385,0.0
REC00152,2024-02-04,Western,Mbarara,Woodland,2523.22,72.38,1766.4,626.0,22,Yes,High,0.02868556844032625,1.0,0.24809568725675923,22.0
REC00153,2024-02-08,Central,Wakiso,Dry Forest,2892.07,100.0,2412.2,570.0,15,No,Low,0.034577309677843206,0.0,0.19709066516370627,0.0
REC00154,2023-09-22,Eastern,Mbale,Dry Forest,768.51,32.01,2122.7,228.0,23,No,Low,0.041652027950189324,0.0,0.2966779872740758,0.0
REC00155,2024-04-26,Central,Wakiso,Tropical Rainforest,167.58,4.72,1469.9,85.0,25,Yes,High,0.028165652225802598,1.0,0.507220432032462,25.0
REC00156,2024-09-19,Central,Wakiso,Dry Forest,5201.02,406.38,1407.2,62.0,16,Yes,High,0.07813467358325867,1.0,0.011920738624346762,16.0
REC00157,2023-12-29,Western,Mbarara,Plantation,2035.93,91.25,1530.4,310.0,19,No,Low,0.04481981207605369,0.0,0.15226456705289473,0.0
REC00158,2023-10-23,Western,Kabale,Plantation,3716.94,104.28,1153.0,581.0,0,Yes,Medium,0.028055335840772248,1.0,0.15631137441013307,0.0
REC00159,2022-05-04,Central,Wakiso,Mangrove,6138.1,293.04,1765.6,829.0,8,No,Medium,0.04774115768723221,0.0,0.13505807986184648,0.0
REC00160,2022-06-23,Northern,Gulu,Plantation,7811.71,296.45,1128.4,453.0,7,Yes,Medium,0.03794943744711465,1.0,0.05798986393504111,7.0
REC00161,2022-08-16,Western,Kabale,Montane Forest,9268.34,404.14,1576.4,56.0,13,Yes,High,0.043604356335654494,1.0,0.006042074416777977,13.0
REC00162,2022-03-23,Northern,Gulu,Montane Forest,6854.7,47.45,1915.4,43.0,15,Yes,High,0.006922257720979767,1.0,0.006273068113848892,15.0
REC00163,2022-07-02,Northern,Gulu,Tropical Rainforest,8084.9,124.44,1596.9,529.0,9,Yes,Medium,0.015391656050167598,1.0,0.06543061757102747,9.0
REC00164,2021-07-24,Central,Mukono,Dry Forest,7729.35,540.07,1924.0,619.0,3,No,High,0.06987262835814137,0.0,0.08008435379430352,0.0
REC00165,2023-11-24,Western,Kabale,Plantation,6175.66,214.88,1340.9,700.0,23,Yes,High,0.03479466162321112,1.0,0.11334820893637279,23.0
REC00166,2022-03-05,Northern,Gulu,Woodland,2269.3,88.32,1482.9,718.0,1,No,Low,0.03891949059181245,0.0,0.3163971268673159,0.0
REC00167,2022-05-05,Eastern,Mbale,Montane Forest,5952.82,33.01,1929.8,703.0,22,Yes,High,0.005545270980812455,1.0,0.11809528929146186,22.0
REC00168,2024-11-28,Northern,Gulu,Plantation,4997.01,355.18,2274.5,780.0,7,No,High,0.07107850494595769,0.0,0.15609334381960413,0.0
REC00169,2022-05-03,Central,Wakiso,Tropical Rainforest,4107.92,242.17,2144.2,157.0,24,Yes,High,0.05895197569572922,1.0,0.03821885528442618,24.0
REC00170,2022-04-04,Western,Kabale,Montane Forest,7837.93,179.17,1055.3,360.0,21,Yes,High,0.022859351895207023,1.0,0.04593049440349684,21.0
REC00171,2024-08-27,Western,Mbarara,Plantation,3454.39,163.93,2056.6,771.0,20,Yes,High,0.047455556552676456,1.0,0.22319425426775785,20.0
REC00172,2022-03-02,Western,Mbarara,Tropical Rainforest,7879.82,160.08,2067.1,213.0,4,No,Medium,0.02031518486462889,0.0,0.027031074313880268,0.0
REC00173,2024-01-29,Central,Wakiso,Tropical Rainforest,687.68,17.87,804.9,323.0,16,No,Low,0.025985923685435088,0.0,0.4696952070730573,0.0
REC00174,2024-04-29,Eastern,Mbale,Tropical Rainforest,7796.73,173.39,1825.8,739.0,11,No,Medium,0.02223881037306666,0.0,0.0947833258301878,0.0
REC00175,2023-02-09,Central,Wakiso,Woodland,1742.51,88.15,2382.7,875.0,15,Yes,High,0.05058794497592554,1.0,0.502149198569879,15.0
REC00176,2021-04-30,Western,Kabale,Montane Forest,1005.13,39.2,1101.0,253.0,5,Yes,Low,0.038999930357267225,1.0,0.2517087341935869,5.0
REC00177,2021-04-05,Central,Mukono,Mangrove,3364.61,49.23,1917.3,424.0,15,No,Low,0.014631710658887655,0.0,0.12601757707431172,0.0
