Forest_Area_ha,Tree_Cover_Loss_ha,Annual_Rainfall_mm,Population_Density,Fire_Incidents,Deforestation_Risk,Illegal_Logging_Flag,Year,Month,Day,Region_Central,Region_Eastern,Region_Northern,Region_Western,District_Gulu,District_Kabale,District_Mbale,District_Mbarara,District_Mukono,District_Wakiso,Forest_Type_Dry Forest,Forest_Type_Mangrove,Forest_Type_Montane Forest,Forest_Type_Plantation,Forest_Type_Tropical Rainforest,Forest_Type_Woodland
5066.14,267.23,830.8,393.0,15,0,1.0,2022.0,5.0,20.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
1222.43,67.72,1416.5,60.0,24,1,0.0,2024.0,5.0,13.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
4052.9,173.27,1639.6,585.0,21,2,0.0,2022.0,5.0,5.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1372.67,80.04,1868.3,566.0,6,1,1.0,2023.0,5.0,21.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
1775.37,98.62,1717.6,424.0,10,1,1.0,2024.0,1.0,30.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1440.41,87.95,2475.9,148.0,15,0,1.0,2021.0,1.0,26.0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2561.8,136.6,2167.4,890.0,5,2,1.0,2023.0,10.0,27.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
9363.98,277.73,1211.6,808.0,6,2,0.0,2022.0,11.0,17.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
9840.85,159.33,1334.5,488.0,8,2,0.0,2021.0,3.0,12.0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
4119.94,106.15,1395.9,790.0,12,2,0.0,2024.0,1.0,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2682.86,111.02,1845.0,583.0,19,0,1.0,2022.0,9.0,23.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
8363.66,507.87,1466.3,796.0,1,0,0.0,2023.0,5.0,9.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
4207.46,52.3,1579.1,319.0,24,0,1.0,2023.0,11.0,9.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
8102.41,571.37,2257.6,807.0,17,0,1.0,2023.0,8.0,5.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
6291.19,91.0,945.8,883.0,11,1,0.0,2022.0,6.0,9.0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
6753.56,538.97,1082.8,696.0,6,0,1.0,2021.0,2.0,27.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4331.02,109.07,1911.3,337.0,0,2,0.0,2024.0,10.0,30.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
6554.01,490.72,801.7,822.0,25,0,0.0,2022.0,5.0,23.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
1682.14,78.32,1604.3,789.0,13,1,0.0,2023.0,4.0,8.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
628.66,-500.0,2283.9,765.0,6,1,0.0,2021.0,2.0,16.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
3788.71,36.89,1698.4,384.0,19,0,1.0,2022.0,11.0,30.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
5524.86,385.19,1549.4,114.0,19,0,0.0,2022.0,10.0,10.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
8578.89,638.4,2018.8,65.0,15,0,1.0,2023.0,1.0,10.0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
6107.8,392.06,1706.5,273.0,10,0,1.0,2022.0,5.0,17.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
5701.68,55.61,2123.9,859.0,16,1,0.0,2024.0,9.0,19.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
5624.57,73.64,774.7,406.0,25,1,0.0,2022.0,12.0,24.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
4981.92,285.62,950.4,275.0,0,2,1.0,2024.0,9.0,11.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
7249.7,438.89,1219.2,456.0,24,0,1.0,2024.0,2.0,23.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2237.34,123.57,1122.5,632.0,0,2,0.0,2021.0,5.0,24.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
3490.26,241.05,99999.0,239.0,7,2,1.0,2023.0,11.0,5.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2655.37,115.24,2357.1,627.0,17,2,0.0,2024.0,5.0,18.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
7033.91,327.65,1975.9,374.0,22,0,1.0,2023.0,7.0,9.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2046.18,106.9,1474.5,523.0,8,2,0.0,2021.0,3.0,7.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
6438.9,385.34,1105.7,68.0,0,0,1.0,2021.0,1.0,29.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
7718.83,171.94,773.7,695.0,18,0,1.0,2022.0,10.0,29.0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
3586.33,98.62,2328.4,724.0,12,0,1.0,2024.0,4.0,12.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
7498.28,312.33,1035.1,119.0,7,0,1.0,2023.0,2.0,17.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2762.98,149.36,1664.5,208.0,1,2,0.0,2022.0,10.0,2.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
3317.75,260.66,1186.8,186.0,23,0,1.0,2024.0,6.0,13.0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
5540.2,280.69,1092.9,759.0,23,2,0.0,2021.0,12.0,3.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
8585.31,88.56,2304.3,837.0,11,1,0.0,2022.0,11.0,6.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
8823.2,458.28,2397.5,568.0,25,0,1.0,2024.0,5.0,15.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
683.23,20.03,1250.6,59.0,18,1,0.0,2024.0,7.0,29.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
6708.84,67.58,883.8,755.0,7,1,1.0,2024.0,5.0,2.0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
6501.36,83.63,1797.2,536.0,13,0,1.0,2022.0,9.0,5.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
7515.42,275.58,962.1,290.0,17,2,0.0,2024.0,10.0,4.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
8865.77,704.34,1412.7,140.0,16,0,0.0,2024.0,2.0,19.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
1595.0,112.15,766.0,121.0,4,2,0.0,2021.0,12.0,17.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1161.69,48.28,1011.8,114.0,1,1,1.0,2023.0,11.0,19.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2077.08,106.05,1573.4,878.0,0,2,1.0,2024.0,8.0,20.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
5212.79,397.41,2154.4,118.0,14,0,1.0,2024.0,3.0,6.0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
9342.78,206.94,2087.9,619.0,22,2,0.0,2021.0,4.0,1.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
1523.34,68.45,1899.1,65.0,11,1,0.0,2021.0,11.0,20.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
2086.44,9.41,1572.9,199.0,18,0,1.0,2024.0,6.0,6.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
4820.96,92.72,1339.4,469.0,17,0,1.0,2024.0,5.0,21.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
6973.81,389.73,2218.4,206.0,17,0,1.0,2023.0,10.0,8.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
5843.75,224.9,1937.2,899.0,23,2,0.0,2022.0,9.0,24.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
5551.8,284.52,1746.0,64.0,4,2,0.0,2024.0,4.0,21.0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
4892.38,102.1,1024.7,692.0,11,2,0.0,2021.0,4.0,3.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
4141.3,235.18,1727.0,463.0,10,2,0.0,2024.0,8.0,20.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
8655.62,199.92,2426.5,242.0,10,2,0.0,2023.0,8.0,10.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
664.09,26.36,1514.9,624.0,20,0,1.0,2022.0,10.0,1.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
3968.01,171.56,1027.4,223.0,18,0,1.0,2023.0,7.0,22.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
2375.25,37.74,2349.7,366.0,20,0,1.0,2022.0,12.0,14.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
820.67,58.1,1822.9,712.0,25,1,0.0,2021.0,3.0,11.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
299.87,20.56,2003.7,316.0,18,0,1.0,2023.0,7.0,9.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
8778.96,77.02,2182.1,821.0,5,1,0.0,2022.0,3.0,29.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
8174.85,38.89,1967.5,726.0,24,1,0.0,2023.0,11.0,8.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
603.18,31.64,872.3,207.0,5,1,0.0,2021.0,11.0,20.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
9188.58,397.43,2293.3,407.0,15,0,0.0,2024.0,10.0,7.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
7950.94,614.88,2088.8,755.0,18,0,1.0,2024.0,5.0,31.0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
2424.06,45.45,2421.9,188.0,8,1,0.0,2023.0,7.0,23.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
720.37,6.71,729.2,400.0,7,1,1.0,2022.0,5.0,19.0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
6592.52,512.27,1014.4,641.0,8,0,0.0,2023.0,9.0,14.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
682.11,33.57,1279.1,72.0,20,0,1.0,2022.0,3.0,5.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
146.93,7.46,2343.1,280.0,13,1,0.0,2021.0,8.0,26.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1878.8,150.1,1208.5,743.0,9,2,1.0,2021.0,4.0,12.0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
231.16,0.94,1731.8,637.0,7,1,0.0,2024.0,2.0,12.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
7995.51,531.58,1036.9,228.0,13,0,0.0,2021.0,5.0,2.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
7808.0,485.31,1293.0,804.0,5,0,1.0,2023.0,7.0,29.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
6256.88,196.61,1185.2,829.0,20,0,1.0,2023.0,9.0,8.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
7124.72,547.01,2394.3,454.0,6,0,1.0,2021.0,3.0,16.0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
5887.67,317.28,911.5,418.0,9,0,1.0,2021.0,12.0,7.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
248.99,15.45,1139.6,672.0,25,0,1.0,2023.0,6.0,26.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
3401.62,1.37,2301.8,194.0,3,1,1.0,2023.0,10.0,21.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
6549.1,258.38,1400.5,531.0,2,2,0.0,2024.0,3.0,24.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
4228.43,152.28,975.7,536.0,21,0,1.0,2024.0,2.0,17.0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
5620.52,182.43,1335.1,524.0,10,2,1.0,2021.0,8.0,14.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
8493.31,20.45,1729.2,881.0,5,1,0.0,2022.0,2.0,13.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
7789.22,450.73,703.4,235.0,3,0,0.0,2022.0,6.0,20.0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2523.22,72.38,1766.4,626.0,22,0,1.0,2024.0,2.0,4.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
2892.07,100.0,2412.2,570.0,15,1,0.0,2024.0,2.0,8.0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
768.51,32.01,2122.7,228.0,23,1,0.0,2023.0,9.0,22.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
167.58,4.72,1469.9,85.0,25,0,1.0,2024.0,4.0,26.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
5201.02,406.38,1407.2,62.0,16,0,1.0,2024.0,9.0,19.0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2035.93,91.25,1530.4,310.0,19,1,0.0,2023.0,12.0,29.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
3716.94,104.28,1153.0,581.0,0,2,1.0,2023.0,10.0,23.0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
6138.1,293.04,1765.6,829.0,8,2,0.0,2022.0,5.0,4.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
7811.71,296.45,1128.4,453.0,7,2,1.0,2022.0,6.0,23.0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
9268.34,404.14,1576.4,56.0,13,0,1.0,2022.0,8.0,16.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
6854.7,47.45,1915.4,43.0,15,0,1.0,2022.0,3.0,23.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
8084.9,124.44,1596.9,529.0,9,2,1.0,2022.0,7.0,2.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
7729.35,540.07,1924.0,619.0,3,0,0.0,2021.0,7.0,24.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
6175.66,214.88,1340.9,700.0,23,0,1.0,2023.0,11.0,24.0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
2269.3,88.32,1482.9,718.0,1,1,0.0,2022.0,3.0,5.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
5952.82,33.01,1929.8,703.0,22,0,1.0,2022.0,5.0,5.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
4997.01,355.18,2274.5,780.0,7,0,0.0,2024.0,11.0,28.0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
4107.92,242.17,2144.2,157.0,24,0,1.0,2022.0,5.0,3.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
7837.93,179.17,1055.3,360.0,21,0,1.0,2022.0,4.0,4.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
3454.39,163.93,2056.6,771.0,20,0,1.0,2024.0,8.0,27.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
7879.82,160.08,2067.1,213.0,4,2,0.0,2022.0,3.0,2.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
687.68,17.87,804.9,323.0,16,1,0.0,2024.0,1.0,29.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
7796.73,173.39,1825.8,739.0,11,2,0.0,2024.0,4.0,29.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1742.51,88.15,2382.7,875.0,15,0,1.0,2023.0,2.0,9.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1005.13,39.2,1101.0,253.0,5,1,1.0,2021.0,4.0,30.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
3364.61,49.23,1917.3,424.0,15,1,0.0,2021.0,4.0,5.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1562.24,46.56,1682.9,558.0,3,1,1.0,2024.0,10.0,25.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
732.9,6.31,2297.4,133.0,22,0,1.0,2022.0,1.0,13.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
7348.36,413.81,1697.5,687.0,25,0,0.0,2022.0,1.0,1.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
6525.54,98.46,1761.8,699.0,17,0,1.0,2021.0,8.0,21.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
1567.13,121.89,1749.9,291.0,1,2,0.0,2021.0,1.0,1.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
3121.76,65.09,1965.6,834.0,18,0,1.0,2021.0,6.0,26.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
467.76,26.48,1401.8,644.0,14,1,0.0,2024.0,4.0,1.0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2875.4,142.1,934.5,607.0,15,0,1.0,2024.0,9.0,22.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
8945.79,117.5,1574.6,749.0,7,2,1.0,2021.0,12.0,28.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
6489.27,144.38,814.3,623.0,20,0,1.0,2023.0,9.0,5.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
5041.42,320.77,1443.3,670.0,0,0,1.0,2022.0,5.0,18.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1488.02,81.23,898.3,596.0,18,0,1.0,2021.0,7.0,21.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
9869.54,377.91,1962.6,496.0,10,0,1.0,2024.0,7.0,17.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
1395.27,74.73,1370.4,702.0,7,1,1.0,2021.0,5.0,8.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
4388.79,86.36,1135.9,36.0,2,1,0.0,2021.0,3.0,15.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
3551.96,228.3,1207.8,613.0,15,0,1.0,2021.0,9.0,28.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2975.3,70.15,1326.0,896.0,25,0,1.0,2021.0,2.0,17.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
5408.16,251.94,1631.6,549.0,4,2,0.0,2021.0,5.0,24.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
6188.43,103.2,1660.3,170.0,0,2,0.0,2022.0,10.0,12.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
3761.61,63.42,1930.2,527.0,15,0,1.0,2021.0,4.0,18.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
1476.08,82.67,1585.0,622.0,16,0,1.0,2023.0,9.0,19.0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
