Record_ID,Observation_Date,Region,District,Forest_Type,Forest_Area_ha,Tree_Cover_Loss_ha,Annual_Rainfall_mm,Population_Density,Fire_Incidents,Illegal_Logging,Deforestation_Risk
REC00026,2024-11-30,Central,Wakiso,Mangrove,2030.3,114.17,2462.6,263,6,No,Medium
REC00027,2022-01-22,Western,Mbarara,Mangrove,5094.16,221.53,1052.1,152,16,Yes,High
REC00028,2023-12-07,Western,Mbarara,Tropical Rainforest,137.35,5.88,2106.6,330,4,Yes,Low
REC00029,2022-01-25,Western,Mbarara,Woodland,8636.12,321.09,1859.6,511,8,No,High
REC00030,2023-03-12,Central,Wakiso,Montane Forest,524.21,7.9,1121.7,135,21,No,Low
REC00032,2021-10-14,Central,Mukono,Dry Forest,9556.61,427.68,2090.0,534,2,No,High
REC00033,2024-08-13,Western,Kabale,Dry Forest,3881.38,135.54,2370.2,399,12,No,Medium
REC00034,2021-09-01,Eastern,Mbale,Woodland,3362.85,101.04,1203.8,108,4,No,Medium
REC00035,2021-11-02,Central,Wakiso,Dry Forest,9155.49,330.63,1956.5,363,7,Yes,High
REC00036,2022-01-15,Northern,Gulu,Plantation,3958.16,156.65,1734.7,610,6,Yes,Medium
REC00037,2021-05-31,Eastern,Mbale,Mangrove,2101.62,156.43,871.0,653,21,No,Medium
REC00038,2021-05-11,Western,Kabale,Plantation,3181.47,65.04,1914.9,789,2,Yes,Low
REC00039,2023-05-08,Western,Kabale,Tropical Rainforest,5530.28,154.05,1729.1,137,3,No,Medium
REC00040,2023-05-16,Western,Mbarara,Dry Forest,2980.84,26.12,2120.2,689,16,Yes,High
REC00041,31-13-2024,Central,Mukono,Woodland,8566.75,370.11,1122.7,768,19,No,High
REC00042,2021-06-25,Eastern,Mbale,Montane Forest,8555.22,406.42,1248.1,735,9,Yes,High
REC00043,2023-08-02,Central,Mukono,Woodland,3487.49,171.96,1942.8,576,7,No,Medium
REC00044,2024-08-03,Central,Mukono,Woodland,4142.98,113.75,937.0,370,16,Yes,High
REC00045,2022-07-02,Northern,Gulu,Woodland,8447.76,288.47,1739.8,220,25,No,Medium
REC00046,2023-01-31,Central,Mukono,Tropical Rainforest,7465.89,558.29,1204.3,141,5,Yes,High
REC00047,2022-04-18,Western,Mbarara,Dry Forest,6883.71,15.47,1187.2,431,14,Yes,High
REC00048,2024-02-22,Eastern,Mbale,Woodland,4400.91,51.55,1076.5,159,13,Yes,High
REC00049,2021-09-22,Eastern,Mbale,Mangrove,9656.38,218.49,1119.6,747,14,No,Medium
REC00050,2023-07-16,Western,Mbarara,Woodland,3153.41,86.42,2247.6,547,22,No,Low
REC00051,2021-03-03,Eastern,Mbale,Dry Forest,8240.84,633.55,1200mm,708,4,Yes,High
REC00052,2021-03-07,Central,Wakiso,Dry Forest,3278.87,218.16,2404.9,469,2,No,Medium
REC00053,2021-11-29,Western,Kabale,Woodland,4641.12,186.71,1102.9,116,1,No,Medium
REC00054,2023-09-27,Eastern,Mbale,Woodland,2927.23,126.26,1763.9,378,12,Yes,High
REC00055,2024-08-18,Eastern,Mbale,Woodland,8103.12,72.05,1417.3,257,20,Yes,High
REC00056,2023-07-24,Central,Wakiso,Plantation,2700.65,124.56,1969.9,568,4,Yes,Medium
REC00057,2021-03-18,Central,Mukono,Montane Forest,8610.77,681.5,2267.6,323,22,No,High
REC00058,2024-05-10,Central,Mukono,Montane Forest,3840.53,1.08,1381.9,686,3,No,Low
REC00059,2023-07-26,Northern,Gulu,Plantation,280.47,7.29,1321.3,417,13,No,Low
REC00060,2022-05-20,Western,Kabale,Mangrove,5066.14,267.23,830.8,393,15,Yes,High
REC00061,2022-08-28,Central,Wakiso,Woodland,964.78,1.58,1082.6,many,11,No,Low
REC00062,2024-05-13,Western,Kabale,Woodland,1222.43,67.72,1416.5,60,24,No,Low
REC00063,2022-05-05,Eastern,Mbale,Mangrove,4052.9,173.27,1639.6,585,21,No,Medium
REC00064,2023-05-21,Western,Mbarara,Montane Forest,1372.67,80.04,1868.3,566,6,Yes,Low
REC00065,2024-01-30,Eastern,Mbale,Woodland,1775.37,98.62,1717.6,424,10,Yes,Low
REC00066,2021-01-26,Northern,Gulu,Plantation,1440.41,87.95,2475.9,148,15,Yes,High
REC00067,2023-10-27,Western,Mbarara,Woodland,2561.8,136.6,2167.4,890,5,Yes,Medium
REC00068,2022-11-17,Eastern,Mbale,Plantation,9363.98,277.73,1211.6,808,6,No,Medium
REC00069,2021-03-12,Central,Wakiso,Dry Forest,9840.85,159.33,1334.5,488,8,No,Medium
REC00070,2024-01-01,Central,Wakiso,Woodland,4119.94,106.15,1395.9,790,12,No,Medium
REC00071,2022-12-07,Central,Mukono,Woodland,7902.01,339.49,1769.5,729,9,Maybe,High
REC00072,2022-09-23,Western,Mbarara,Woodland,2682.86,111.02,1845.0,583,19,Yes,High
REC00073,2023-05-09,Eastern,Mbale,Woodland,8363.66,507.87,1466.3,796,1,No,High
REC00074,2023-11-09,Eastern,Mbale,Tropical Rainforest,4207.46,52.3,1579.1,319,24,Yes,High
REC00075,2023-08-05,Eastern,Mbale,Mangrove,8102.41,571.37,2257.6,807,17,Yes,High
REC00076,2022-06-09,Central,Wakiso,Dry Forest,6291.19,91.0,945.8,883,11,No,Low
REC00077,2021-02-27,Northern,Gulu,Woodland,6753.56,538.97,1082.8,696,6,Yes,High
REC00078,2024-10-30,Central,Wakiso,Mangrove,4331.02,109.07,1911.3,337,0,No,Medium
REC00079,2022-05-23,Northern,Gulu,Montane Forest,6554.01,490.72,801.7,822,25,No,High
REC00080,2023-04-08,Central,Mukono,Montane Forest,1682.14,78.32,1604.3,789,13,No,Low
REC00081,2021-02-16,Western,Kabale,Woodland,628.66,-500.0,2283.9,765,6,No,Low
REC00082,2022-11-30,Northern,Gulu,Mangrove,3788.71,36.89,1698.4,384,19,Yes,High
REC00083,2022-10-10,Eastern,Mbale,Woodland,5524.86,385.19,1549.4,114,19,No,High
REC00084,2023-01-10,Central,Wakiso,Dry Forest,8578.89,638.4,2018.8,65,15,Yes,High
REC00085,2022-05-17,Eastern,Mbale,Montane Forest,6107.8,392.06,1706.5,273,10,Yes,High
REC00086,2024-09-19,Western,Kabale,Woodland,5701.68,55.61,2123.9,859,16,No,Low
REC00087,2022-12-24,Western,Kabale,Montane Forest,5624.57,73.64,774.7,406,25,No,Low
REC00088,2024-09-11,Western,Mbarara,Dry Forest,4981.92,285.62,950.4,275,0,Yes,Medium
REC00089,2024-02-23,Western,Kabale,Tropical Rainforest,7249.7,438.89,1219.2,456,24,Yes,High
REC00090,2021-05-24,Central,Mukono,Tropical Rainforest,2237.34,123.57,1122.5,632,0,No,Medium
REC00091,2023-11-05,Central,Mukono,Plantation,3490.26,241.05,99999,239,7,Yes,Medium
REC00092,2024-05-18,Eastern,Mbale,Tropical Rainforest,2655.37,115.24,2357.1,627,17,No,Medium
REC00093,2023-07-09,Central,Mukono,Woodland,7033.91,327.65,1975.9,374,22,Yes,High
REC00094,2021-03-07,Western,Kabale,Tropical Rainforest,2046.18,106.9,1474.5,523,8,No,Medium
REC00095,2021-01-29,Northern,Gulu,Mangrove,6438.9,385.34,1105.7,68,0,Yes,High
REC00096,2022-10-29,Northern,Gulu,Plantation,7718.83,171.94,773.7,695,18,Yes,High
REC00097,2024-04-12,Central,Wakiso,Tropical Rainforest,3586.33,98.62,2328.4,724,12,Yes,High
REC00098,2023-02-17,Eastern,Mbale,Mangrove,7498.28,312.33,1035.1,119,7,Yes,High
REC00099,2022-10-02,Central,Mukono,Plantation,2762.98,149.36,1664.5,208,1,No,Medium
REC00100,2024-06-13,Northern,Gulu,Dry Forest,3317.75,260.66,1186.8,186,23,Yes,High
REC00101,2021-12-03,Western,Kabale,Woodland,5540.2,280.69,1092.9,759,23,No,Medium
REC00102,2022-11-06,Western,Mbarara,Woodland,8585.31,88.56,2304.3,837,11,No,Low
REC00103,2024-05-15,Northern,Gulu,Woodland,8823.2,458.28,2397.5,568,25,Yes,High
REC00104,2024-07-29,Eastern,Mbale,Mangrove,683.23,20.03,1250.6,59,18,No,Low
REC00105,2024-05-02,Central,Wakiso,Dry Forest,6708.84,67.58,883.8,755,7,Yes,Low
REC00106,2022-09-05,Central,Wakiso,Mangrove,6501.36,83.63,1797.2,536,13,Yes,High
REC00107,2024-10-04,Eastern,Mbale,Plantation,7515.42,275.58,962.1,290,17,No,Medium
REC00108,2024-02-19,Western,Mbarara,Woodland,8865.77,704.34,1412.7,140,16,No,High
REC00109,2021-12-17,Western,Kabale,Woodland,1595.0,112.15,766.0,121,4,No,Medium
REC00110,2023-11-19,Western,Kabale,Mangrove,1161.69,48.28,1011.8,114,1,Yes,Low
REC00111,2024-08-20,Western,Mbarara,Dry Forest,2077.08,106.05,1573.4,878,0,Yes,Medium
REC00112,2024-03-06,Western,Kabale,Dry Forest,5212.79,397.41,2154.4,118,14,Yes,High
REC00113,2021-04-01,Northern,Gulu,Mangrove,9342.78,206.94,2087.9,619,22,No,Medium
REC00114,2021-11-20,Western,Mbarara,Plantation,1523.34,68.45,1899.1,65,11,No,Low
REC00115,2024-06-06,Western,Mbarara,Montane Forest,2086.44,9.41,1572.9,199,18,Yes,High
REC00116,2024-05-21,Northern,Gulu,Mangrove,4820.96,92.72,1339.4,469,17,Yes,High
REC00117,2023-10-08,Western,Kabale,Woodland,6973.81,389.73,2218.4,206,17,Yes,High
REC00118,2022-09-24,Western,Mbarara,Woodland,5843.75,224.9,1937.2,899,23,No,Medium
REC00119,2024-04-21,Western,Kabale,Plantation,5551.8,284.52,1746.0,64,4,No,Medium
REC00120,2021-04-03,Western,Mbarara,Tropical Rainforest,4892.38,102.1,1024.7,692,11,No,Medium
REC00121,2024-08-20,Central,Mukono,Montane Forest,4141.3,235.18,1727.0,463,10,No,Medium
REC00122,2023-08-10,Northern,Gulu,Montane Forest,8655.62,199.92,2426.5,242,10,No,Medium
REC00123,2022-10-01,Western,Mbarara,Dry Forest,664.09,26.36,1514.9,624,20,Yes,High
REC00124,2023-07-22,Western,Kabale,Woodland,3968.01,171.56,1027.4,223,18,Yes,High
REC00125,2022-12-14,Western,Kabale,Montane Forest,2375.25,37.74,2349.7,366,20,Yes,High
REC00126,2021-03-11,Northern,Gulu,Woodland,820.67,58.1,1822.9,712,25,No,Low
REC00127,2023-07-09,Western,Kabale,Montane Forest,299.87,20.56,2003.7,316,18,Yes,High
REC00128,2022-03-29,Central,Wakiso,Tropical Rainforest,8778.96,77.02,2182.1,821,5,No,Low
REC00129,2023-11-08,Western,Mbarara,Plantation,8174.85,38.89,1967.5,726,24,No,Low
REC00130,2021-11-20,Central,Mukono,Plantation,603.18,31.64,872.3,207,5,No,Low
REC00131,2024-10-07,Central,Mukono,Mangrove,9188.58,397.43,2293.3,407,15,No,High
REC00132,2024-05-31,Northern,Gulu,Dry Forest,7950.94,614.88,2088.8,755,18,Yes,High
REC00133,2023-07-23,Western,Mbarara,Plantation,2424.06,45.45,2421.9,188,8,No,Low
REC00134,2022-05-19,Western,Kabale,Plantation,720.37,6.71,729.2,400,7,Yes,Low
REC00135,2023-09-14,Western,Kabale,Montane Forest,6592.52,512.27,1014.4,641,8,No,High
REC00136,2022-03-05,Central,Wakiso,Tropical Rainforest,682.11,33.57,1279.1,72,20,Yes,High
REC00137,2021-08-26,Central,Mukono,Plantation,146.93,7.46,2343.1,280,13,No,Low
REC00138,2021-04-12,Northern,Gulu,Plantation,1878.8,150.1,1208.5,743,9,Yes,Medium
REC00139,2024-02-12,Western,Kabale,Woodland,231.16,0.94,1731.8,637,7,No,Low
REC00140,2021-05-02,Eastern,Mbale,Tropical Rainforest,7995.51,531.58,1036.9,228,13,No,High
REC00141,2023-07-29,Central,Wakiso,Plantation,7808.0,485.31,1293.0,804,5,Yes,High
REC00142,2023-09-08,Central,Mukono,Plantation,6256.88,196.61,1185.2,829,20,Yes,High
REC00143,2021-03-16,Central,Wakiso,Dry Forest,7124.72,547.01,2394.3,454,6,Yes,High
REC00144,2021-12-07,Central,Wakiso,Plantation,5887.67,317.28,911.5,418,9,Yes,High
REC00145,2023-06-26,Central,Mukono,Plantation,248.99,15.45,1139.6,672,25,Yes,High
REC00146,2023-10-21,Central,Wakiso,Mangrove,3401.62,1.37,2301.8,194,3,Yes,Low
REC00147,2024-03-24,Western,Kabale,Tropical Rainforest,6549.1,258.38,1400.5,531,2,No,Medium
REC00148,2024-02-17,Northern,Gulu,Plantation,4228.43,152.28,975.7,536,21,Yes,High
REC00149,2021-08-14,Western,Mbarara,Tropical Rainforest,5620.52,182.43,1335.1,524,10,Yes,Medium
REC00150,2022-02-13,Eastern,Mbale,Plantation,8493.31,20.45,1729.2,881,5,No,Low
REC00151,2022-06-20,Northern,Gulu,Plantation,7789.22,450.73,703.4,235,3,No,High
REC00152,2024-02-04,Western,Mbarara,Woodland,2523.22,72.38,1766.4,626,22,Yes,High
REC00153,2024-02-08,Central,Wakiso,Dry Forest,2892.07,100.0,2412.2,570,15,No,Low
REC00154,2023-09-22,Eastern,Mbale,Dry Forest,768.51,32.01,2122.7,228,23,No,Low
REC00155,2024-04-26,Central,Wakiso,Tropical Rainforest,167.58,4.72,1469.9,85,25,Yes,High
REC00156,2024-09-19,Central,Wakiso,Dry Forest,5201.02,406.38,1407.2,62,16,Yes,High
REC00157,2023-12-29,Western,Mbarara,Plantation,2035.93,91.25,1530.4,310,19,No,Low
REC00158,2023-10-23,Western,Kabale,Plantation,3716.94,104.28,1153.0,581,0,Yes,Medium
REC00159,2022-05-04,Central,Wakiso,Mangrove,6138.1,293.04,1765.6,829,8,No,Medium
REC00160,2022-06-23,Northern,Gulu,Plantation,7811.71,296.45,1128.4,453,7,Yes,Medium
REC00161,2022-08-16,Western,Kabale,Montane Forest,9268.34,404.14,1576.4,56,13,Yes,High
REC00162,2022-03-23,Northern,Gulu,Montane Forest,6854.7,47.45,1915.4,43,15,Yes,High
REC00163,2022-07-02,Northern,Gulu,Tropical Rainforest,8084.9,124.44,1596.9,529,9,Yes,Medium
REC00164,2021-07-24,Central,Mukono,Dry Forest,7729.35,540.07,1924.0,619,3,No,High
REC00165,2023-11-24,Western,Kabale,Plantation,6175.66,214.88,1340.9,700,23,Yes,High
REC00166,2022-03-05,Northern,Gulu,Woodland,2269.3,88.32,1482.9,718,1,No,Low
REC00167,2022-05-05,Eastern,Mbale,Montane Forest,5952.82,33.01,1929.8,703,22,Yes,High
REC00168,2024-11-28,Northern,Gulu,Plantation,4997.01,355.18,2274.5,780,7,No,High
REC00169,2022-05-03,Central,Wakiso,Tropical Rainforest,4107.92,242.17,2144.2,157,24,Yes,High
REC00170,2022-04-04,Western,Kabale,Montane Forest,7837.93,179.17,1055.3,360,21,Yes,High
REC00171,2024-08-27,Western,Mbarara,Plantation,3454.39,163.93,2056.6,771,20,Yes,High
REC00172,2022-03-02,Western,Mbarara,Tropical Rainforest,7879.82,160.08,2067.1,213,4,No,Medium
REC00173,2024-01-29,Central,Wakiso,Tropical Rainforest,687.68,17.87,804.9,323,16,No,Low
REC00174,2024-04-29,Eastern,Mbale,Tropical Rainforest,7796.73,173.39,1825.8,739,11,No,Medium
REC00175,2023-02-09,Central,Wakiso,Woodland,1742.51,88.15,2382.7,875,15,Yes,High
REC00176,2021-04-30,Western,Kabale,Montane Forest,1005.13,39.2,1101.0,253,5,Yes,Low
REC00177,2021-04-05,Central,Mukono,Mangrove,3364.61,49.23,1917.3,424,15,No,Low
REC00178,2024-10-25,Eastern,Mbale,Dry Forest,1562.24,46.56,1682.9,558,3,Yes,Low
REC00179,2022-01-13,Eastern,Mbale,Tropical Rainforest,732.9,6.31,2297.4,133,22,Yes,High
REC00180,2022-01-01,Central,Wakiso,Montane Forest,7348.36,413.81,1697.5,687,25,No,High
REC00181,2021-08-21,Western,Mbarara,Dry Forest,6525.54,98.46,1761.8,699,17,Yes,High
REC00182,2021-01-01,Central,Wakiso,Montane Forest,1567.13,121.89,1749.9,291,1,No,Medium
REC00183,2021-06-26,Eastern,Mbale,Tropical Rainforest,3121.76,65.09,1965.6,834,18,Yes,High
REC00184,2024-04-01,Northern,Gulu,Plantation,467.76,26.48,1401.8,644,14,No,Low
REC00185,2024-09-22,Central,Wakiso,Woodland,2875.4,142.1,934.5,607,15,Yes,High
REC00186,2021-12-28,Central,Wakiso,Tropical Rainforest,8945.79,117.5,1574.6,749,7,Yes,Medium
REC00187,2023-09-05,Central,Mukono,Mangrove,6489.27,144.38,814.3,623,20,Yes,High
REC00188,2022-05-18,Central,Mukono,Dry Forest,5041.42,320.77,1443.3,670,0,Yes,High
REC00189,2021-07-21,Central,Mukono,Montane Forest,1488.02,81.23,898.3,596,18,Yes,High
REC00190,2024-07-17,Western,Mbarara,Mangrove,9869.54,377.91,1962.6,496,10,Yes,High
REC00191,2021-05-08,Central,Mukono,Plantation,1395.27,74.73,1370.4,702,7,Yes,Low
REC00192,2021-03-15,Western,Kabale,Mangrove,4388.79,86.36,1135.9,36,2,No,Low
REC00193,2021-09-28,Central,Wakiso,Tropical Rainforest,3551.96,228.3,1207.8,613,15,Yes,High
REC00194,2021-02-17,Western,Mbarara,Woodland,2975.3,70.15,1326.0,896,25,Yes,High
REC00195,2021-05-24,Western,Kabale,Tropical Rainforest,5408.16,251.94,1631.6,549,4,No,Medium
REC00196,2022-10-12,Central,Mukono,Woodland,6188.43,103.2,1660.3,170,0,No,Medium
REC00197,2021-04-18,Northern,Gulu,Tropical Rainforest,3761.61,63.42,1930.2,527,15,Yes,High
REC00198,2023-09-19,Northern,Gulu,Plantation,1476.08,82.67,1585.0,622,16,Yes,High
REC00199,2024-12-13,Western,Mbarara,Tropical Rainforest,3061.15,120.24,2112.0,211,11,No,Medium
REC00200,2022-10-17,Western,Kabale,Tropical Rainforest,6557.89,75.63,888.3,777,9,No,Low
REC00201,2024-12-12,Western,Mbarara,Montane Forest,4082.87,4.12,1789.1,63,18,Yes,High
REC00202,2024-10-28,Western,Mbarara,Tropical Rainforest,7318.54,330.51,2175.4,318,9,No,High
REC00203,2021-05-29,Northern,Gulu,Mangrove,4444.17,53.01,2030.7,716,13,Yes,High
REC00204,2024-09-30,Central,Mukono,Plantation,4581.93,213.74,1012.7,370,0,No,Medium
REC00205,2024-04-08,Eastern,Mbale,Montane Forest,8167.05,293.02,830.3,784,16,Yes,High
REC00206,2022-04-20,Central,Wakiso,Plantation,5553.29,8.3,1025.0,517,18,No,Low
REC00207,2023-01-10,Central,Mukono,Plantation,1331.86,93.52,2092.9,480,0,Yes,Low
REC00208,2021-05-25,Northern,Gulu,Mangrove,8970.71,563.49,1821.4,811,17,No,High
REC00209,2023-01-20,Central,Wakiso,Tropical Rainforest,1832.21,119.2,1628.8,69,11,No,Medium
REC00210,2022-01-20,Northern,Gulu,Montane Forest,7457.67,16.87,2404.1,774,14,No,Low
REC00211,2024-09-26,Northern,Gulu,Plantation,2657.95,111.66,2272.3,144,15,Yes,High
REC00212,2023-09-01,Central,Wakiso,Tropical Rainforest,8560.14,675.8,1060.6,763,6,No,High
REC00213,2021-05-22,Northern,Gulu,Tropical Rainforest,4245.5,159.6,1794.1,212,12,Yes,High
REC00214,2023-07-27,Western,Mbarara,Dry Forest,8865.39,493.52,1342.4,660,5,No,High
REC00215,2021-02-28,Eastern,Mbale,Woodland,6595.68,149.92,750.5,828,14,No,Medium
REC00216,2023-08-03,Northern,Gulu,Woodland,3448.77,171.74,1516.6,740,16,Yes,High
REC00217,2023-11-26,Northern,Gulu,Montane Forest,4576.39,151.74,859.7,581,5,No,Medium
REC00218,2023-04-17,Central,Mukono,Tropical Rainforest,8654.68,459.81,845.9,212,14,No,High
REC00219,2023-03-20,Northern,Gulu,Montane Forest,4789.41,353.41,1519.8,350,15,Yes,High
REC00220,2023-07-24,Western,Kabale,Tropical Rainforest,7205.97,448.31,2148.0,649,10,Yes,High
REC00221,2022-02-28,Northern,Gulu,Plantation,7905.38,385.2,2030.1,687,17,No,High
REC00222,2021-03-29,Eastern,Mbale,Plantation,1460.53,86.27,1034.7,241,21,No,Low
REC00223,2022-09-01,Western,Mbarara,Tropical Rainforest,6833.21,489.3,865.6,414,10,No,High
REC00224,2024-03-26,Western,Mbarara,Woodland,3060.62,198.51,1126.4,842,14,No,Medium
REC00225,2022-11-12,Central,Wakiso,Woodland,9600.27,122.79,2374.5,362,22,No,Medium
REC00226,2022-09-28,Western,Kabale,Plantation,7056.22,495.09,810.8,105,16,No,High
REC00227,2023-03-25,Western,Kabale,Tropical Rainforest,6486.42,499.67,2441.7,264,22,No,High
REC00228,2021-11-19,Western,Kabale,Montane Forest,8987.92,462.74,923.2,847,12,No,High
REC00229,2022-07-26,Central,Wakiso,Montane Forest,9327.46,155.32,1610.0,579,21,No,Medium
REC00230,2022-10-05,Eastern,Mbale,Tropical Rainforest,6769.81,522.92,989.7,773,24,Yes,High
REC00231,2023-04-09,Central,Mukono,Woodland,1421.12,4.79,1170.2,836,13,Yes,High
REC00232,2021-07-23,Eastern,Mbale,Montane Forest,7797.16,103.02,2387.4,138,22,No,Medium
REC00233,2023-11-24,Western,Mbarara,Mangrove,5400.82,183.15,1771.6,756,6,No,Medium
REC00234,2023-01-22,Northern,Gulu,Woodland,7079.05,22.07,2338.1,710,9,No,Low
REC00235,2023-05-31,Western,Mbarara,Mangrove,3309.62,185.32,771.6,803,23,No,Medium
REC00236,2022-02-17,Western,Kabale,Tropical Rainforest,9646.3,301.82,2406.3,742,19,Yes,High
REC00237,2022-01-19,Western,Mbarara,Tropical Rainforest,9347.23,28.05,1402.8,156,12,No,Low
REC00238,2022-06-06,Western,Kabale,Mangrove,5138.95,373.79,1469.6,898,15,Yes,High
REC00239,2021-01-07,Eastern,Mbale,Woodland,884.77,6.8,2291.4,663,19,No,Low
REC00240,2023-02-25,Central,Wakiso,Woodland,8549.93,525.85,761.3,604,24,No,High
REC00241,2024-05-19,Central,Wakiso,Montane Forest,5011.96,363.05,1774.7,484,10,Yes,High
REC00242,2022-09-18,Eastern,Mbale,Montane Forest,1787.21,9.1,1766.9,537,13,Yes,High
REC00243,2023-06-03,Central,Mukono,Mangrove,9741.11,643.07,1866.5,571,11,Yes,High
REC00244,2023-04-26,Eastern,Mbale,Woodland,2028.63,94.6,869.4,209,8,Yes,Low
REC00245,2021-04-16,Northern,Gulu,Montane Forest,446.82,10.94,2273.1,431,8,Yes,Low
REC00246,2024-01-02,Western,Mbarara,Tropical Rainforest,6420.7,238.05,2326.2,148,8,No,Medium
REC00247,2021-12-26,Central,Mukono,Dry Forest,8478.56,462.32,1875.5,673,22,Yes,High
REC00248,2024-03-31,Western,Mbarara,Tropical Rainforest,1220.49,46.15,1175.5,374,4,Yes,Low
REC00249,2022-09-10,Northern,Gulu,Montane Forest,8795.13,535.83,1714.6,820,11,Yes,High
REC00250,2021-08-23,Eastern,Mbale,Plantation,1048.86,9.64,1330.3,432,1,Yes,Low
REC00251,2023-05-23,Western,Kabale,Mangrove,7113.07,555.49,827.3,246,24,No,High
REC00252,2021-05-27,Western,Mbarara,Woodland,5565.34,266.32,2343.8,162,23,No,Medium
REC00253,2023-06-09,Central,Mukono,Woodland,4681.85,189.48,1893.9,845,3,Yes,Medium
REC00254,2023-10-14,Northern,Gulu,Mangrove,4983.67,311.54,1834.6,323,2,No,High
REC00255,2022-04-22,Eastern,Mbale,Plantation,7349.63,371.18,1834.7,196,16,No,High
REC00256,2024-07-30,Western,Kabale,Montane Forest,8467.9,272.3,2033.0,433,9,No,Medium
REC00257,2022-07-06,Western,Kabale,Plantation,9588.0,762.79,844.5,793,11,Yes,High
REC00258,2023-03-23,Western,Mbarara,Tropical Rainforest,8218.07,598.68,2482.3,152,2,No,High
REC00259,2024-11-13,Central,Mukono,Montane Forest,8597.44,133.52,991.0,776,11,Yes,High
REC00260,2023-07-17,Eastern,Mbale,Plantation,7771.7,513.72,2062.7,173,24,No,High
REC00261,2023-05-20,Central,Mukono,Montane Forest,310.12,3.92,1159.6,305,23,Yes,High
REC00262,2023-09-23,Central,Mukono,Tropical Rainforest,7986.01,399.83,1791.1,488,24,Yes,High
REC00263,2021-05-15,Western,Kabale,Tropical Rainforest,7110.41,157.31,2348.2,301,24,No,Medium
REC00264,2022-04-13,Central,Wakiso,Plantation,9812.2,187.02,2273.9,486,19,No,Medium
REC00265,2024-03-11,Central,Wakiso,Plantation,2766.58,178.57,1790.2,107,8,Yes,Medium
REC00266,2021-08-27,Eastern,Mbale,Dry Forest,8972.07,707.87,1659.2,321,2,No,High
REC00267,2023-01-27,Central,Wakiso,Plantation,3099.58,59.55,2455.8,565,23,Yes,High
REC00268,2023-11-24,Western,Kabale,Plantation,3276.45,150.15,2437.0,462,22,No,Medium
REC00269,2021-07-03,Western,Mbarara,Woodland,1632.88,6.21,1745.9,674,11,No,Low
REC00270,2022-09-14,Central,Mukono,Montane Forest,9680.71,678.59,1848.6,512,20,Yes,High
REC00271,2023-10-22,Western,Kabale,Mangrove,5578.04,414.38,1765.9,445,23,Yes,High
REC00272,2021-03-22,Western,Kabale,Mangrove,8893.17,452.45,1235.9,158,25,Yes,High
REC00273,2023-03-30,Western,Kabale,Plantation,4924.39,216.42,2478.3,505,10,Yes,Medium
